BW25113_RS04605,cydD
BW25113_RS04610,trxB
BW25113_RS04615,lrp
BW25113_RS04620,ftsK
BW25113_RS04625,lolA
BW25113_RS04630,rarA
BW25113_RS04635,serS
BW25113_RS04640,dmsA
BW25113_RS04645,dmsB
BW25113_RS04650,dmsC
BW25113_RS04655,ycaC
BW25113_RS04660,ycaD
BW25113_RS04665,ycaM
BW25113_RS04670,ycaN
BW25113_RS04675,ycaK
BW25113_RS04680,pflA
BW25113_RS04685,pflB
BW25113_RS25515,focA
BW25113_RS04695,ycaO
BW25113_RS04700,ycaP
BW25113_RS04705,serC
BW25113_RS04710,aroA
